Designator,Mid X,Mid Y,Rotation,Layer
5VREG1,173.228,-161.29,270.0,top
C1,234.95,-145.415,0.0,top
C10,200.64375,-148.02,180.0,top
C11,223.52,-133.096,90.0,top
C12,193.613,-123.88025,90.0,top
C13,184.469,-123.88025,90.0,top
C14,183.388,-157.734,0.0,top
C15,183.40425,-164.781,0.0,top
C16,265.296,-133.858,0.0,top
C17,265.31,-128.0275,0.0,top
C18,197.866,-161.036,90.0,top
C19,200.64375,-143.067,180.0,top
C2,234.96625,-152.97,0.0,top
C3,227.903,-149.87625,270.0,top
C4,217.932,-171.196,270.0,top
C5,210.885,-171.21225,270.0,top
C6,222.569,-161.56025,270.0,top
C7,206.437,-133.07975,90.0,top
C8,215.327,-133.07975,90.0,top
C9,200.64375,-153.1,180.0,top
D1,206.37,-123.19,180.0,top
D2,196.85,-170.937,90.0,top
D3,172.355,-140.6,0.0,top
D4,227.584,-122.428,90.0,top
D5,242.824,-147.569,90.0,top
D6,252.476,-152.141,90.0,top
D7,262.382,-159.507,90.0,top
IC1,214.376,-149.098,270.0,top
J1,234.4355,-166.116,270.0,top
J2,178.2314,-149.2508,270.0,top
J3,171.8306,-149.2,270.0,top
J6,172.5,-120.0,90.0,top
Q1,172.3706,-130.93,180.0,top
R1,205.74,-162.052,90.0,top
R10,243.586,-118.872,0.0,top
R2,236.728,-159.004,0.0,top
R3,200.66,-123.19,90.0,top
R4,188.595,-150.495,0.0,top
R5,274.32,-164.465,0.0,top
R6,172.555,-124.4,180.0,top
R7,215.9,-123.444,0.0,top
R8,243.586,-127.0,0.0,top
R9,243.586,-122.834,0.0,top
SW1,247.614,-161.746,270.0,top
TP1,194.31,-143.51,180.0,top
TP2,182.123,-172.212,90.0,top
TP3,215.9,-119.38,90.0,top
U1,189.23,-131.389,0.0,top
U2,287.528,-146.1105,270.0,top
Y1,214.122,-162.814,0.0,top
